Nr. factura,Data factura,Baza impozitare,Valoare TVA,An factura,Predictie,Diferenta
43180,2020-09-04,1201.67,228.32,2020,1429.9936399078815,-0.0036399078815065877
43183,2020-09-04,690.78,131.25,2020,822.0348281799687,-0.004828179968740187
43184,2020-09-04,147.06,27.94,2020,175.00609290412496,-0.006092904124955112
43234,2020-09-07,384.82,73.12,2020,457.945539685972,-0.005539685971996278
43239,2020-09-07,117.66,22.36,2020,140.02616103357718,-0.006161033577171793
43287,2020-09-07,42.02,7.98,2020,50.00633730731746,-0.006337307317458851
43269,2020-09-08,107.47,20.42,2020,127.8961848957579,-0.0061848957578973796
43303,2020-09-09,41.5,7.88,2020,49.38633856663103,-0.006338566631029607
43304,2020-09-09,306.22,58.18,2020,364.4057227443377,-0.005722744337731456
43325,2020-09-10,371.26,70.54,2020,441.8055713736703,-0.005571373670306912
43335,2020-09-10,93.7,17.8,2020,111.50621707603449,-0.0062170760344884
43364,2020-09-11,49.49,9.4,2020,58.89631990439046,-0.00631990439045893
43394,2020-09-13,126.64,24.06,2020,150.70614040554415,-0.0061404055441585115
43410,2020-09-14,49.53,9.41,2020,58.946319711576436,-0.006319711576438181
43430,2020-09-15,78.68,14.95,2020,93.63625185176032,-0.006251851760325167
43435,2020-09-15,37.82,7.18,2020,45.00634715888384,-0.006347158883841075
43466,2020-09-16,75.64,14.37,2020,90.0162590220137,-0.006259022013693993
43492,2020-09-17,11.68,2.22,2020,13.906407681239916,-0.006407681239915419
43493,2020-09-17,4.62,0.88,2020,5.506424043274733,-0.0064240432747331155
43542,2020-09-18,115.98,22.04,2020,138.02616497420377,-0.006164974203755946
43552,2020-09-19,56.73,10.78,2020,67.51630288257066,-0.006302882570651036
43582,2020-09-20,1205.27,229.0,2020,1434.2736317012568,-0.003631701256836095
43583,2020-09-20,1300.54,247.1,2020,1547.6434101750883,-0.0034101750882200577
43607,2020-09-21,115.98,22.04,2020,138.02616497420377,-0.006164974203755946
43616,2020-09-21,60.58,11.51,2020,72.09629399055355,-0.006293990553544404
43632,2020-09-21,267.1,50.75,2020,317.85581361373556,-0.005813613735540457
43654,2020-09-22,94.11,17.88,2020,111.99621603514228,-0.006216035142287524
43667,2020-09-22,62.39,11.86,2020,74.2562895272205,-0.006289527220502578
43669,2020-09-22,270.77,51.45,2020,322.22580496574716,-0.005804965747131519
43684,2020-09-23,397.65,75.55,2020,473.20551016592185,-0.0055101659218621535
43738,2020-09-24,781.35,148.46,2020,929.8146174603951,-0.004617460395138551
43745,2020-09-24,465.6,88.46,2020,554.0653521477076,-0.0053521477076401425
43746,2020-09-24,40.84,7.76,2020,48.60633987715934,-0.006339877159341256
43754,2020-09-25,305.54,58.05,2020,363.59572435915106,-0.005724359151088265
43825,2020-09-28,46.63,8.86,2020,55.496326414858885,-0.006326414858882856
43883,2020-09-29,191.62,36.41,2020,228.0359891162197,-0.005989116219694779
